name,id,city,state,lat,lon,score,rank,rank2,globalScore,country
Balboa Island Diamond Resort Compound,86211506,Newport Beach, California,33.60486,-117.89403,400948.28,0.5,97.81620025634766,30.0,US
Hennessey House Bed And Breakfast,4536805,Napa, California,38.3044,-122.28973,400991.75,11.810301,97.8209228515625,30.0,US
702 Cottages At Silverado Condo,122035703,Napa, California,38.35359,-122.2649,400987.62,0.5,97.81620025634766,1.0,US
Inn On Randolph,46299306,Napa, California,38.292615,-122.287015,400987.62,0.5,97.81620025634766,30.0,US
Silverado Golf Course,147643504,Napa, California,38.35994,-122.26403,400987.62,0.5,97.81620025634766,30.0,US
703 Cottages At Silverado Residence,122040303,Napa, California,38.35346,-122.26533,400987.62,0.5,97.81620025634766,30.0,US
Quality Inn Near Six Flags Discovery Kingdom-Napa Valley,43633,Vallejo, California,38.13557,-122.2136,375053.16,11.810301,74.03386688232422,30.0,US
Embassy Suites BY Hilton Hotel Napa Valley,39373,Napa, California,38.2977200000001,-122.30032,368351.03,13.47378,66.86486053466797,30.0,US
Hotel Indigo Napa Valley,40664,Napa, California,38.3349400000001,-122.32164,367725.0,12.018117,66.37753295898438,30.0,US
Doubletree BY Hilton Hotel & SPA Napa Valley - American Canyon,10114304,American Canyon, California,38.172821,-122.253545,365207.97,12.049547,65.99331665039062,30.0,US
Executive Santa Monica Suites,177202703,Los Angeles, California,34.0485,-118.45375,398968.22,0.5,97.81620025634766,30.0,US
Hilton Santa Monica Hotel & Suites,39053,Santa Monica, California,34.01194,-118.489926,369774.0,12.017865,67.94300842285156,30.0,US
Comfort Inn Santa Monica - West Los Angeles,43607,Santa Monica, California,34.034838,-118.472434,368504.4,11.81031,66.94258880615234,30.0,US
Shore Hotel,9350505,Santa Monica, California,34.012414,-118.496122,368192.12,14.768902,66.69893646240234,30.0,US
Fairmont Miramar Hotel & Bungalows,17175204,Santa Monica, California,34.016788,-118.501227,367660.56,12.576059,66.28589630126953,30.0,US
Ocean View Hotel,43244,Santa Monica, California,34.01299,-118.49681,366326.12,11.8785095,65.26007843017578,30.0,US
Days Inn BY Wyndham Santa Monica/Los Angeles,44061,Santa Monica, California,34.036554,-118.470304,362973.75,11.810301,62.75127410888672,30.0,US
The Pierside Santa Monica,39652,Santa Monica, California,34.011972,-118.494185,362327.94,12.103711,62.279052734375,30.0,US
Hampton Inn BY Hilton & Suites Santa Monica,69378405,Santa Monica, California,34.01487778,-118.491075,362126.84,1.0,62.13270950317383,30.0,US
The Ambrose Hotel,31380504,Santa Monica, California,34.0303334,-118.4818477,355664.44,11.915893,57.60615921020508,30.0,US
Kearney Motel,35908006,Long Beach, California,33.791029,-118.214751,400978.84,11.810301,97.89974212646484,30.0,US
Hotel Salina,29945705,Long Beach, California,33.827581,-118.188897,400909.6,11.810301,97.8209228515625,30.0,US
Hiland Motel,45322505,Long Beach, California,33.79002512,-118.21138456,400909.56,11.810301,97.8209228515625,30.0,US
Long Beach Vacation Rental Walk TO Beach And Shops,131497003,Long Beach, California,33.76135,-118.13524,400905.6,0.5,97.81620025634766,1.0,US
Sunlight Motel Long Beach,65781006,Long Beach, California,33.835215,-118.187392,400905.53,0.5,97.81620025634766,30.0,US
Hilton Long Beach,39620,Long Beach, California,33.76766,-118.19939,378705.84,13.466581,75.52964782714844,30.0,US
Holiday Inn Long Beach - Airport,39820,Long Beach, California,33.80425,-118.14269,376042.6,11.810314,73.2187271118164,30.0,US
